1994.5,10393.898,70.454,4.49
1994.75,10512.962,70.785,5.17
1995,10550.251,71.132,5.81
1995.25,10581.723,71.546,6.02
1995.5,10671.738,71.838,5.80
1995.75,10744.203,72.154,5.72
1996,10824.674,72.555,5.36
1996.25,11005.217,73.040,5.24
1996.5,11103.935,73.352,5.31
1996.75,11219.238,73.852,5.28
1997,11291.665,74.178,5.28
1997.25,11479.330,74.365,5.52
1997.5,11622.911,74.561,5.53
1997.75,11722.722,74.795,5.51
1998,11839.876,74.801,5.52
1998.25,11949.492,74.936,5.50
1998.5,12099.191,75.167,5.53
1998.75,12294.737,75.364,4.86
1999,12410.778,75.511,4.73
1999.25,12514.408,75.939,4.75
1999.5,12679.977,76.357,5.09
1999.75,12888.281,76.821,5.31
2000,12935.252,77.446,5.68
2000.25,13170.749,77.815,6.27
2000.5,13183.890,78.318,6.52
2000.75,13262.250,78.762,6.47
2001,13219.251,79.348,5.59
2001.25,13301.394,79.720,4.33
2001.5,13248.142,79.760,3.50
2001.75,13284.881,79.793,2.13
2002,13394.910,79.952,1.73
2002.25,13477.356,80.544,1.75
2002.5,13531.741,80.961,1.74
2002.75,13549.421,81.338,1.44
2003,13619.434,81.960,1.25
2003.25,13741.107,82.042,1.25
2003.5,13970.157,82.582,1.02
2003.75,14131.379,82.987,1.00
2004,14212.340,83.627,1.00
2004.25,14323.017,84.189,1.01
2004.5,14457.832,84.603,1.43
2004.75,14605.595,85.326,1.95
2005,14767.846,85.822,2.47
2005.25,14839.707,86.364,2.94
2005.5,14956.291,87.297,3.46
2005.75,15041.232,87.993,3.98
2006,15244.088,88.452,4.46
2006.25,15281.525,89.229,4.91
2006.5,15304.517,89.871,5.25
2006.75,15433.643,89.723,5.25
2007,15478.956,90.542,5.26
2007.25,15577.779,91.310,5.25
2007.5,15671.605,91.827,5.07
2007.75,15767.146,92.762,4.50
2008,15702.906,93.518,3.18
2008.25,15792.773,94.430,2.09
2008.5,15709.562,95.438,1.94
2008.75,15366.607,93.915,0.51
2009,15187.475,93.280,0.18
2009.25,15161.772,93.650,0.12
2009.5,15216.647,94.295,-0.27
2009.75,15379.155,95.022,-0.41
2010,15456.059,95.389,-0.49
2010.25,15605.628,95.536,-0.50
2010.5,15726.282,95.720,-0.69
2010.75,15807.995,96.333,-0.95
2011,15769.911,97.143,-1.03
2011.25,15876.839,98.099,-1.11
2011.5,15870.684,98.553,-1.32
2011.75,16048.702,98.878,-1.46
2012,16179.968,99.533,-1.42
2012.25,16253.726,99.774,-1.20
2012.5,16282.151,100.064,-1.27
2012.75,16300.035,100.625,-1.40
2013,16441.485,100.987,-1.41
2013.25,16464.402,101.059,-1.25
2013.5,16594.743,101.469,-1.66
2013.75,16712.760,101.894,-1.99
2014,16654.247,102.384,-2.51
2014.25,16868.109,102.896,-2.92
2014.5,17064.616,103.187,-2.84
2014.75,17141.235,103.069,-2.66
2015,17280.647,102.641,-2.02
2015.25,17380.875,103.139,-1.48
2015.5,17437.080,103.389,-0.98
2015.75,17462.579,103.286,-0.10
2016,17565.465,103.340,0.36
2016.25,17618.581,103.989,0.37
2016.5,17724.489,104.379,0.40
2016.75,17812.560,104.872,0.45
2017,17889.094,105.493,0.70
2017.25,17979.218,105.754,0.95
2017.5,18127.994,106.138,1.15
2017.75,18310.300,106.814,1.20
2018,18437.127,107.584,1.45
2018.25,18565.697,108.162,1.74
2018.5,18699.748,108.549,1.92
2018.75,18733.741,108.959,2.22
2019,18835.411,109.186,2.40
2019.25,18962.175,109.854,2.40
2019.5,19130.932,110.140,2.19
2019.75,19215.691,110.536,1.64
2020,18989.877,110.935,1.26
2020.25,17378.712,110.431,0.06
2020.5,18743.720,111.347,0.09
2020.75,18924.262,111.799,-0.14
2021,19216.224,113.033,-0.82
2021.25,19544.248,114.810,-1.87
2021.5,19672.594,116.382,-1.83
2021.75,20006.181,118.142,-1.57
2022,19924.088,120.290,0.03
2022.25,19895.271,122.426,0.77
2022.5,20054.663,123.727,2.19
2022.75,20182.491,124.869,3.65
2023,20282.760,126.132,4.52
