2007.75,99.103,138350
2008,98.988,138199
2008.25,97.81,137631
2008.5,97.155,136710
2008.75,100.518,134774
2009,98.69,132449
2009.25,100.594,130944
2009.5,100.444,130174
2009.75,100.234,129687
2010,99.445,129811
2010.25,100.542,130456
2010.5,100.747,130296
2010.75,100.384,130745
2011,101.162,131195
2011.25,99.362,131836
2011.5,99.293,132285
2011.75,97.716,132828
2012,99.908,133657
2012.25,99.736,133951
2012.5,99.274,134422
2012.75,101.146,135064
2013,99.233,135682
2013.25,100.023,136285
2013.5,99.681,136800
2013.75,99.856,137395
2014,101.043,137964
2014.25,101.064,138795
